iter	Passed	Remaining
832	5107	1023
833	5109	1016
834	5111	1010
835	5113	1003
836	5116	996
837	5122	990
838	5125	983
839	5128	976
840	5131	970
841	5137	964
842	5141	957
843	5144	950
844	5146	944
845	5151	937
846	5154	931
847	5157	924
848	5159	917
849	5162	910
850	5169	905
851	5172	898
852	5174	891
853	5176	885
854	5188	879
855	5191	873
856	5200	867
857	5203	861
858	5206	854
859	5209	848
860	5216	842
861	5219	835
862	5222	829
863	5225	822
864	5231	816
865	5234	809
866	5236	803
867	5238	796
868	5240	790
869	5247	784
870	5249	777
871	5252	770
872	5254	764
873	5256	757
874	5260	751
875	5263	745
876	5265	738
877	5268	732
878	5272	725
879	5276	719
880	5279	713
881	5284	707
882	5291	701
883	5295	694
884	5342	694
885	5347	688
886	5357	682
887	5359	676
888	5362	669
889	5364	663
890	5369	656
891	5372	650
892	5374	644
893	5377	637
894	5379	631
895	5384	624
896	5387	618
897	5390	612
898	5396	606
899	5400	600
900	5402	593
901	5404	587
902	5406	580
903	5411	574
904	5415	568
905	5417	562
906	5420	555
907	5422	549
908	5424	543
909	5428	536
910	5430	530
911	5432	524
912	5434	517
913	5437	511
914	5440	505
915	5444	499
916	5447	493
917	5451	486
918	5455	480
919	5462	475
920	5465	468
921	5468	462
922	5471	456
923	5478	450
924	5480	444
925	5483	438
926	5486	432
927	5494	426
928	5497	420
929	5500	414
930	5503	407
931	5507	401
932	5509	395
933	5512	389
934	5517	383
935	5521	377
936	5524	371
937	5527	365
938	5535	359
939	5538	353
940	5541	347
941	5544	341
942	5549	335
943	5552	329
944	5555	323
945	5557	317
946	5560	311
947	5565	305
948	5568	299
949	5570	293
950	5573	287
951	5575	281
952	5581	275
953	5584	269
954	5586	263
955	5588	257
956	5590	251
957	5595	245
958	5599	239
959	5601	233
960	5603	227
961	5606	221
962	5610	215
963	5613	209
964	5615	203
965	5617	197
966	5620	191
967	5625	185
968	5628	180
969	5632	174
970	5635	168
971	5642	162
972	5645	156
973	5648	150
974	5650	144
975	5652	139
976	5659	133
977	5661	127
978	5663	121
979	5666	115
980	5674	109
981	5678	104
982	5683	98
983	5696	92
984	5700	86
985	5706	81
986	5709	75
987	5712	69
988	5714	63
989	5716	57
990	5719	51
991	5723	46
992	5726	40
993	5736	34
994	5739	28
995	5741	23
996	5743	17
997	5749	11
998	5752	5
999	5754	0
